Text_ID,Mobile_Tech_Flag_Predicted,Brands_Entity_Identified,Sentiment_Identified
tweet_4086,0,,
tweet_4087,0,,
tweet_4088,0,,
tweet_4089,0,,
tweet_4090,0,,
tweet_4091,0,,
tweet_4092,0,,
tweet_4093,0,,
tweet_4094,0,,
tweet_4095,0,,
tweet_4096,0,,
tweet_4097,0,,
tweet_4098,0,,
tweet_4099,0,,
tweet_4100,0,,
tweet_4101,0,,
tweet_4102,0,,
tweet_4103,0,,
tweet_4104,0,,
tweet_4105,0,,
tweet_4106,0,,
tweet_4107,1,,
tweet_4108,0,,
tweet_4109,0,,
tweet_4110,0,,
tweet_4111,0,,
tweet_4112,0,,
tweet_4113,0,,
tweet_4114,0,,
tweet_4115,0,,
tweet_4116,0,,
tweet_4117,0,,
tweet_4118,0,,
tweet_4119,0,,
tweet_4120,0,,
tweet_4121,0,,
tweet_4122,0,,
tweet_4123,0,,
tweet_4124,0,,
tweet_4125,0,,
tweet_4126,0,,
tweet_4127,0,,
tweet_4128,0,,
tweet_4129,0,,
tweet_4130,0,,
tweet_4131,0,,
tweet_4132,0,,
tweet_4133,0,,
tweet_4134,0,,
tweet_4135,0,,
tweet_4136,0,,
tweet_4137,0,,
tweet_4138,0,,
tweet_4139,0,,
tweet_4140,0,,
tweet_4141,1,,
tweet_4142,0,,
tweet_4143,0,,
tweet_4144,0,,
tweet_4145,0,,
tweet_4146,0,,
tweet_4147,0,,
tweet_4148,0,,
tweet_4149,1,,
tweet_4150,0,,
tweet_4151,1,,
tweet_4152,1,,
tweet_4153,1,Google,Neutral
tweet_4154,1,,
tweet_4155,1,Samsung,Postive
tweet_4156,1,Apple,Postive
tweet_4157,1,,
tweet_4158,1,Panasonic,Postive
tweet_4159,1,,
tweet_4160,1,,
tweet_4161,1,,
tweet_4162,1,Acer,Postive
tweet_4163,1,Realme,Postive
tweet_4164,1,Xiaomi,Neutral
tweet_4165,1,,
tweet_4166,1,Xiaomi,Neutral
tweet_4167,1,,
tweet_4168,1,Nokia,Neutral
tweet_4169,1,Xiaomi,Neutral
tweet_4170,1,,
tweet_4171,1,,
tweet_4172,1,Samsung,Postive
tweet_4173,1,Xiaomi,Postive
tweet_4174,1,Huawei,Neutral
tweet_4175,1,Asus,Postive
tweet_4176,1,,
tweet_4177,1,,
tweet_4178,1,Oneplus,Postive
tweet_4179,1,Samsung,Postive
tweet_4180,1,,
tweet_4181,1,Oneplus,Postive
tweet_4182,1,Oppo,Postive
tweet_4183,1,Xiaomi,Neutral
tweet_4184,1,"Oppo,Realme","Postive,Postive"
tweet_4185,1,,
tweet_4186,1,,
tweet_4187,1,Oneplus,Postive
tweet_4188,1,,
tweet_4189,1,,
tweet_4190,1,Xiaomi,Neutral
tweet_4191,1,,
tweet_4192,1,Oppo,Postive
tweet_4193,1,Zte,Postive
tweet_4194,1,,
tweet_4195,1,Samsung,Neutral
tweet_4196,1,,
tweet_4197,1,Xiaomi,Neutral
tweet_4198,1,,
tweet_4199,1,Oppo,Negative
tweet_4200,1,,
tweet_4201,1,Samsung,Negative
tweet_4202,0,,
tweet_4203,1,Samsung,Negative
tweet_4204,1,,
tweet_4205,1,,
tweet_4206,1,,
tweet_4207,1,,
tweet_4208,0,,
tweet_4209,1,,
tweet_4210,1,,
